id,author,updated_time,spent,stars,contents
34193697,白,2022-11-24 13:09:14,4555,3,这是什么情况？是bug吗？还是说这不让打，希望能给一个解释
34193693,丽丽,2022-11-24 13:08:56,0,5,原神玩着挺好的，就是原石不够用，抽卡总是歪。可玩度还是很好的。强力推荐
23911436,雪藏春,2022-11-24 12:45:12,0,5,移动端断触的问题什么时候能解决呢我愿称之为二次元抽卡游戏的巅峰，强烈推荐
34193368,一条小橙子X,2022-11-24 12:36:28,0,3,"18个G sha我吧，真的，这游戏真该死啊，这比sha了我还难受,啊～啊～啊～（灵魂升天）"
34193316,阿切,2022-11-24 12:31:50,0,5,真的超级棒
34193251,十二,2022-11-24 12:26:20,36360,4,少的那一星，不是我永远大保底，是跑完须弥7级22草神瞳缺的那一个
34193232,且盼他日云梦归,2022-11-24 12:24:44,24123,1,依托答辩这个原神
34193086,。,2022-11-24 12:11:17,0,5,还不错
34192996,达布溜,2022-11-24 12:03:23,45897,1,最近出了一个设置可以把以前的任务资源给卸了，很好。但是***但是我登录了账号A，把A的以往任务资源卸了，我再登录账号B，需要把卸了的资源下回来。合理到目前为止很合理，但是哈，这个卸掉的资源是 切换账号若缺失 必然要重新下载下来没法取消，取消就要退出游戏 不能继续玩，而且最重要的是你没法再切回A，你就得登着B，再把卸掉的资源硬生生的下回来，才能出现&#039;退出账号&#039;的选项。如果你有一个小号今天推出了可以卸掉以往资源的设置你很开心，你的手机终于可以减肥了你高高兴兴的卸掉了5G的资源你登了个小号继续肝，发现需要重新下载你觉得合理，但你没有流量了于是你想不肝小号了，玩大号锄锄大地吧然后你发现没有    登 出 键  
34192875,日常想宰人,2022-11-24 12:02:07,11693,5,因为终于打过深境螺旋了所以来评价一下！游戏时长不对，现在都在PC端玩，56级快57了，有两百多天了，uid213262283可查评价很主观我是真的很喜欢这个游戏，单机（可联但没必要&hellip;？不过这个游戏大佬们人都挺好的，帮忙打怪啥也不要，就是现在没人来玩了呜呜呜），开放大世界（地图对我来说够大啦还有好多没上线呢），适合摆烂社恐人建模真的很好看（钟离呜呜呜我是帝君的狗！凯亚也好戳我还有没上线的艾尔海森）风景也很好看音乐据说也不错（一般不开声音偶尔听听角色语音）还可以弹琴可以建房子马上3.3还能打牌了，前两次小活动（冒险家试炼和蕈兽）也很有意思（除了打架的我都很喜欢）！是光遇跑图跑烦了加上钟离好戳我来玩的原神～不过2.4末尾了没抽到，更新的时候要重新下但是占内存好大，而且刚开始啥也不知道莽过25突破之后感觉大世界的怪好难打于是退坑了大概2.5中期还是2.6的时候又在笔记本上下回来了，并且开始有意识的找攻略培养角色啥的，阿晴（新手池就来了她好爱我～）等级天赋什么的拉起来之后就好打很多，加上配队后面的突破也没再卡过，2.6给阿晴抽了雾切（大概回坑福利和阿晴的好运加持？没吃定轨耶），然后养了莫娜香菱班班给阿晴配队（在米游社咨询了大佬来着），2.7夜兰来了（没特地抽，就每期纪行不是会有50抽那个任务嘛就随便抽抽正好该到她大保底了）然后被我扔仓库了，2.8万叶（原地起飞我真的好喜欢！很方便爬山啥的）小保底没歪于是把莫娜扔仓库了，3.0大保底强娶钟离（阿离呜呜呜我是钟离的狗），这时候阿晴班班也都有主词条对的圣遗物了（我是懒狗一直没好好刷过）于是我把烟绯夜兰拿出来玩了，3.2小草神来了阿晴起飞于是我终于打过深渊了（玉皇妲帝（叶）+烟夜钟班）！虽然离满星还差一半毕竟我不想刷圣遗物（只有班班接近小毕业了，阿晴皇女纳西妲2+2，另外仨凑到了四件套，万叶钟离纳西妲都有主词条不对的，并且我没一个升了90级最高85）但是我已经很满意了诶！现在就是等海哥了，并且考虑抽到海哥之后就不下池子了攒钟离满命（完全只是因为喜欢！）壶还出了复制真的很棒诶！接下来的我每天大概就是委托体力挖矿砍树下线（或者挂机看美人儿们）玩游戏当然开心最重要啦！这个游戏我真的玩得很开心诶！还会不时有一些小惊喜小成就感比如抽到卡的满足还有成长过程中逐渐攻克一个一个boss的快乐等等！
